Budget Case,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,Exposure Factor,Daily Cutoff,Grid N Iter,Grid Block Len,Grid Horizon Days,Grid Seed,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Candidate Speed Rank Score
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.7,-0.04,5000,20,1095,42,0.9576,0.9630325814536341,0.9867707655606159,0.91,131.0,58.0,15.0,0.0,0.09,0.0,0.3464,268.6389010989011,238.0,170.0,335.0,451.0,1.0549387472527472
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.65,-0.04,5000,20,1095,42,0.9722,0.9742851265171776,0.9917652027027027,0.9394,151.0,68.0,15.0,0.0,0.0598,0.0008,0.2318,305.42814562486694,269.0,195.0,383.0,515.0,1.0531116359378325
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.8,-0.04,5000,20,1095,42,0.945,0.9602116402116402,0.9801631033722724,0.8894,118.0,52.0,15.0,0.0056,0.105,0.0,0.3694,244.52619743647404,216.0,151.0,305.0,412.4000000000001,1.0475905064088147
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.7,-0.045,5000,20,1095,42,0.9554,0.9619007745446934,0.9865070729053319,0.9066,131.0,58.0,15.0,0.0016,0.0918,0.0,0.1302,268.5422457533642,238.0,170.0,335.0,451.0,1.045542385616589
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.65,-0.045,5000,20,1095,42,0.9778,0.9801595418285948,0.9926961602671118,0.9514,163.0,70.5,15.0,0.0,0.047,0.0016,0.0842,324.02438511667015,286.0,204.0,405.0,551.0,1.0448970372083248
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.65,-0.04,5000,20,1095,42,0.978,0.9797546012269939,0.9929033604675433,0.9514,163.0,70.0,15.0,0.0,0.047,0.0016,0.2448,324.41391633382386,287.0,205.0,406.0,551.0,1.0423172091654405
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.65,-0.04,5000,20,1095,42,0.9656,0.9672742336371168,0.9890792291220557,0.9238,144.0,65.0,15.0,0.0,0.0756,0.0006,0.2198,291.6841307642347,258.0,188.0,365.0,486.0,1.0405916730894131
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.65,-0.045,5000,20,1095,42,0.9672,0.9739454094292804,0.9923566878980892,0.9348,150.0,67.0,15.0,0.0042,0.0602,0.0008,0.079,304.11339323919555,267.5,194.0,382.0,512.0,1.039926516902011
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.65,-0.045,5000,20,1095,42,0.9652,0.966639038541235,0.9884244372990354,0.9222,144.0,64.0,15.0,0.0,0.0772,0.0006,0.0746,291.1721969204077,258.0,186.5,364.5,486.0,1.038523507698981
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.65,-0.035,5000,20,1095,42,0.9788,0.9803841438496118,0.9931221342225928,0.953,165.0,71.0,15.0,0.0,0.0454,0.0016,0.4108,328.1492130115425,291.0,206.0,410.0,556.0,1.0361189674711435
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.85,-0.035,5000,20,1095,42,0.9426,0.9569276469340123,0.9838137472283813,0.8874,116.0,51.0,15.0,0.0094,0.1032,0.0,0.7354,244.41199008338967,216.0,148.0,307.0,419.4000000000001,1.0344160247915257
fastest_80_tf1p75_mreq1p00_mrfx7p25,"{""MR_EQ"": 1.0, ""MR_FX"": 7.25, ""TF_EQ"": 1.75}",1.75,1.0,7.25,10.0,1517800.441800059,0.2761007761025598,1.309753900500452,1.3161237270093746,-20.978329805659158,-0.10392725578754523,19,173.4397927353002,960.1819109868555,0.65,-0.035,5000,20,1095,42,0.9518,0.9527211599075436,0.9808116453462726,0.8894,125.0,53.0,15.0,0.0,0.1104,0.0002,0.5948,261.17449966269396,228.0,158.0,332.0,451.0,1.009515750843265
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.8,-0.04,5000,20,1095,42,0.9414,0.9621839813044402,0.985648045926253,0.8928,124.0,55.0,15.0,0.0224,0.0848,0.0,0.3208,259.21617383512546,228.0,159.0,325.0,440.0,1.0047515654121864
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,"{""MR_EQ"": 0.875, ""MR_FX"": 7.375, ""TF_EQ"": 1.75}",1.75,0.875,7.375,10.0,1433218.3570036818,0.2708844392815477,1.303957511730984,1.2928806761914327,-20.952006188190463,-0.10414733929737638,17,172.88080390776608,964.5078895335809,0.7,-0.035,5000,20,1095,42,0.9444,0.9466327827191868,0.9787472035794184,0.875,115.0,48.0,15.0,0.0,0.1248,0.0002,0.6208,246.28548571428573,214.0,146.0,314.0,429.0,1.0032782857142857
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.7,-0.035,5000,20,1095,42,0.9472,0.9581925675675675,0.9841339797267519,0.8932,132.0,58.0,15.0,0.0,0.1068,0.0,0.6714,268.42901925660544,237.0,169.25,336.0,450.0,1.0018134518584862
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,"{""MR_EQ"": 0.875, ""MR_FX"": 7.375, ""TF_EQ"": 1.75}",1.75,0.875,7.375,10.0,1433218.3570036818,0.2708844392815477,1.303957511730984,1.2928806761914327,-20.952006188190463,-0.10414733929737638,17,172.88080390776608,964.5078895335809,0.65,-0.035,5000,20,1095,42,0.9522,0.951900861163621,0.9810238305383936,0.8892,127.0,53.0,15.0,0.0,0.1106,0.0002,0.6056,265.11043634727844,231.0,160.0,337.0,455.0,0.9989679091318039
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.8,-0.035,5000,20,1095,42,0.9356,0.9548952543822147,0.9780613387060667,0.8738,117.5,51.0,15.0,0.0042,0.122,0.0,0.854,244.9691004806592,216.0,151.0,305.0,412.2000000000003,0.996237248798352
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.9,-0.035,5000,20,1095,42,0.9174,0.9441901024634838,0.9780651119833756,0.8472,100.0,44.0,15.0,0.01,0.1428,0.0,0.9218,210.55358829084042,187.0,129.75,264.0,362.0,0.9959980292728989
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.8,-0.035,5000,20,1095,42,0.9388,0.95994887089902,0.9866844207723036,0.8892,124.0,55.0,15.0,0.0224,0.0884,0.0,0.6528,260.06657669815564,229.5,160.0,326.0,441.5,0.9885055582546108
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.65,-0.035,5000,20,1095,42,0.9544,0.9603939647946353,0.987344534147938,0.905,143.0,64.0,15.0,0.0,0.0946,0.0004,0.6542,288.36508287292816,256.0,185.0,360.0,479.0,0.9879452928176795
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.7,-0.045,5000,20,1095,42,0.9496,0.974726200505476,0.9907087294727744,0.917,145.0,65.0,15.0,0.0234,0.0592,0.0004,0.22,296.4449291166848,261.0,186.0,375.0,502.60000000000036,0.9846876772082882
fastest_80_tf1p75_mreq1p00_mrfx7p25,"{""MR_EQ"": 1.0, ""MR_FX"": 7.25, ""TF_EQ"": 1.75}",1.75,1.0,7.25,10.0,1517800.441800059,0.2761007761025598,1.309753900500452,1.3161237270093746,-20.978329805659158,-0.10392725578754523,19,173.4397927353002,960.1819109868555,0.7,-0.035,5000,20,1095,42,0.9374,0.9453808406229998,0.976980365605958,0.8658,113.0,47.0,15.0,0.0046,0.1296,0.0,0.609,241.01386001386,209.0,143.0,305.0,417.2000000000003,0.98417534996535
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.8,-0.045,5000,20,1095,42,0.9318,0.9628675681476712,0.9870708872046366,0.8856,122.0,54.0,15.0,0.0326,0.0816,0.0002,0.2552,255.3864046973803,225.0,157.75,320.0,432.0,0.9833819882565495
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.85,-0.035,5000,20,1095,42,0.9142,0.9435572084882958,0.9744957106422444,0.8406,102.0,45.0,15.0,0.0104,0.149,0.0,0.8516,215.07994289793004,191.0,133.0,268.0,364.0,0.9651841427551747
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.75,-0.04,5000,20,1095,42,0.9246,0.9550075708414449,0.982559456398641,0.8676,119.0,53.0,15.0,0.0178,0.1146,0.0,0.5498,245.85269709543567,218.0,154.25,305.0,414.0,0.9648702572614108
fastest_80_tf1p75_mreq1p00_mrfx7p25,"{""MR_EQ"": 1.0, ""MR_FX"": 7.25, ""TF_EQ"": 1.75}",1.75,1.0,7.25,10.0,1517800.441800059,0.2761007761025598,1.309753900500452,1.3161237270093746,-20.978329805659158,-0.10392725578754523,19,173.4397927353002,960.1819109868555,0.8,-0.035,5000,20,1095,42,0.9198,0.9275929549902152,0.963666197843413,0.8222,93.0,40.0,15.0,0.0,0.1778,0.0,0.9764,204.15738263196303,178.0,122.0,258.0,356.0,0.9464425434200926
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.75,-0.035,5000,20,1095,42,0.9246,0.954574951330305,0.979379107183322,0.8644,121.0,53.0,15.0,0.0176,0.118,0.0,0.7882,249.22512725590005,220.0,156.0,309.0,417.9000000000001,0.9446551818602498
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.85,-0.035,5000,20,1095,42,0.9158,0.94496614981437,0.9792003697712041,0.8474,107.0,47.0,15.0,0.0256,0.127,0.0,0.8184,225.5097946660373,200.0,139.0,282.0,384.0,0.9446415133349068
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,"{""MR_EQ"": 0.875, ""MR_FX"": 7.375, ""TF_EQ"": 1.75}",1.75,0.875,7.375,10.0,1433218.3570036818,0.2708844392815477,1.303957511730984,1.2928806761914327,-20.952006188190463,-0.10414733929737638,17,172.88080390776608,964.5078895335809,0.75,-0.04,5000,20,1095,42,0.9204,0.9365493263798349,0.9723897911832947,0.8382,102.0,44.0,15.0,0.012,0.1498,0.0,0.5072,222.3915533285612,195.0,132.0,280.0,389.0,0.941549116678597
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.9,-0.035,5000,20,1095,42,0.9014,0.9369869092522742,0.9718209803457258,0.8208,94.0,42.0,15.0,0.0236,0.1556,0.0,0.8678,200.25901559454192,178.0,125.0,251.25,339.7000000000003,0.9294744610136451
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,"{""MR_EQ"": 0.875, ""MR_FX"": 7.375, ""TF_EQ"": 1.75}",1.75,0.875,7.375,10.0,1433218.3570036818,0.2708844392815477,1.303957511730984,1.2928806761914327,-20.952006188190463,-0.10414733929737638,17,172.88080390776608,964.5078895335809,0.75,-0.035,5000,20,1095,42,0.9174,0.9328537170263789,0.9728908623510166,0.8326,103.0,44.0,15.0,0.0096,0.1578,0.0,0.7274,222.97766034110018,195.0,132.0,282.0,391.0,0.9234818491472495
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.9,-0.035,5000,20,1095,42,0.9172,0.9382904491931967,0.9788519637462235,0.8424,107.0,46.0,15.0,0.0388,0.1188,0.0,0.8358,226.05413105413106,200.0,136.0,285.0,386.0,0.9149066723646724
fastest_80_tf1p75_mreq1p00_mrfx7p25,"{""MR_EQ"": 1.0, ""MR_FX"": 7.25, ""TF_EQ"": 1.75}",1.75,1.0,7.25,10.0,1517800.441800059,0.2761007761025598,1.309753900500452,1.3161237270093746,-20.978329805659158,-0.10392725578754523,19,173.4397927353002,960.1819109868555,0.85,-0.035,5000,20,1095,42,0.9062,0.9203266387111013,0.9570743405275779,0.7982,86.0,37.0,15.0,0.0036,0.1982,0.0,1.1948,189.37283888749687,165.0,113.0,240.0,328.0,0.9056199027812579
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,"{""MR_EQ"": 0.875, ""MR_FX"": 7.375, ""TF_EQ"": 1.75}",1.75,0.875,7.375,10.0,1433218.3570036818,0.2708844392815477,1.303957511730984,1.2928806761914327,-20.952006188190463,-0.10414733929737638,17,172.88080390776608,964.5078895335809,0.85,-0.035,5000,20,1095,42,0.9066,0.9219060225016545,0.9576453697056713,0.8004,87.0,37.0,15.0,0.0078,0.1918,0.0,1.1668,192.4825087456272,167.0,114.0,244.0,334.9000000000001,0.9005257281359321
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.85,-0.04,5000,20,1095,42,0.9034,0.9457604604826212,0.9770599250936329,0.8348,106.0,47.0,15.0,0.0534,0.1118,0.0,0.4362,223.89889793962627,199.0,138.0,281.0,380.0,0.8868907551509343
fastest_80_tf1p75_mreq1p00_mrfx7p25,"{""MR_EQ"": 1.0, ""MR_FX"": 7.25, ""TF_EQ"": 1.75}",1.75,1.0,7.25,10.0,1517800.441800059,0.2761007761025598,1.309753900500452,1.3161237270093746,-20.978329805659158,-0.10392725578754523,19,173.4397927353002,960.1819109868555,0.65,-0.04,5000,20,1095,42,0.9328,0.9451114922813036,0.9720961887477314,0.857,124.0,53.0,15.0,0.0312,0.1116,0.0002,0.3202,260.76242707117854,228.0,158.0,330.0,449.5999999999999,0.8848919323220537
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,"{""MR_EQ"": 0.875, ""MR_FX"": 7.375, ""TF_EQ"": 1.75}",1.75,0.875,7.375,10.0,1433218.3570036818,0.2708844392815477,1.303957511730984,1.2928806761914327,-20.952006188190463,-0.10414733929737638,17,172.88080390776608,964.5078895335809,0.65,-0.045,5000,20,1095,42,0.9326,0.945957538065623,0.9716617547041487,0.8572,126.0,53.0,15.0,0.032,0.1104,0.0004,0.127,263.2813812412506,230.0,160.0,335.0,452.0,0.8805265468968734
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.8,-0.045,5000,20,1095,42,0.9104,0.9477152899824253,0.9796012980992118,0.8452,113.0,50.0,15.0,0.0694,0.0854,0.0,0.2926,235.40534784666352,209.0,147.0,294.0,397.0,0.8747606303833411
