ERC Method,ERC Lookback,MR_FX Regime,Daily Cutoff,Exposure Factor,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Rank Score
rolling_erc_756,756.0,off,-0.035,0.5,0.9876,0.98440664236533,0.9958856202427484,0.9682,218.0,99.0,15.0,0.0,0.0226,0.0092,0.227,1.4177913284730657
rolling_erc_756,756.0,off,-0.04,0.5,0.9874,0.9833907231112011,0.9954685890834192,0.9666,218.0,99.0,15.0,0.0,0.0246,0.0088,0.1154,1.4160441446222403
rolling_erc_756,756.0,off,-0.03,0.5,0.9878,0.9817776877910508,0.995669210146422,0.9656,221.0,101.0,15.0,0.0,0.0236,0.0108,0.5552,1.4109435375582102
rolling_erc_504,504.0,on,-0.04,0.75,0.9654,0.9724466542365858,0.9882829143587558,0.9278,136.0,60.0,15.0,0.0,0.072,0.0002,0.3516,1.342393330847317
rolling_erc_252,252.0,on,-0.04,0.75,0.9626,0.9742364429669644,0.9901898059287695,0.9286,138.0,61.0,15.0,0.0036,0.0676,0.0002,0.3536,1.3423712885933927
fixed_current_weights,,on,-0.035,0.75,0.9674,0.9708497002274137,0.9880749574105622,0.928,135.0,59.0,15.0,0.0,0.0716,0.0004,0.5654,1.3409359400454828
rolling_erc_504,504.0,on,-0.035,0.75,0.9646,0.9724238026124818,0.9893390191897654,0.928,137.0,60.0,15.0,0.0,0.0718,0.0002,0.647,1.3394947605224963
rolling_erc_252,252.0,on,-0.035,0.75,0.9622,0.9733943047183538,0.9903907751441384,0.9276,138.0,61.0,15.0,0.0032,0.069,0.0002,0.581,1.3383888609436707
rolling_erc_252,252.0,off,-0.04,0.75,0.9618,0.9721355791224787,0.9897326203208556,0.9254,138.0,61.0,15.0,0.0032,0.0712,0.0002,0.3522,1.3370051158244955
rolling_erc_504,504.0,off,-0.04,0.75,0.9638,0.9699107698692675,0.9886606760804451,0.9242,136.0,60.0,15.0,0.0,0.0756,0.0002,0.3492,1.3360301539738535
fixed_current_weights,,on,-0.04,0.75,0.965,0.9674611398963731,0.9884318766066839,0.9228,135.0,59.0,15.0,0.0014,0.0754,0.0004,0.3522,1.3335902279792744
rolling_erc_756,756.0,on,-0.04,0.75,0.9616,0.9700499168053245,0.9894939965694682,0.923,135.0,60.0,15.0,0.0002,0.0766,0.0002,0.3472,1.333577983361065
rolling_erc_252,252.0,off,-0.035,0.75,0.9616,0.9708818635607321,0.9899314481576692,0.9242,138.0,61.0,15.0,0.003,0.0726,0.0002,0.5786,1.3326703727121463
rolling_erc_252,252.0,on,-0.03,0.75,0.9648,0.9716003316749585,0.9878387027949648,0.926,138.0,61.0,15.0,0.0,0.074,0.0,1.0222,1.332538066334992
fixed_current_weights,,on,-0.03,0.75,0.966,0.969151138716356,0.9878231147190771,0.9248,134.0,59.0,15.0,0.0,0.0748,0.0004,0.9126,1.331904227743271
rolling_erc_504,504.0,on,-0.03,0.75,0.9646,0.9697283848227245,0.9886679495403036,0.9248,136.0,60.0,15.0,0.0,0.075,0.0002,0.9186,1.3314396769645447
fixed_current_weights,,off,-0.04,0.75,0.9646,0.9668256272029857,0.9879905640145829,0.9214,134.0,59.0,15.0,0.0,0.0786,0.0,0.3518,1.3313271254405974
rolling_erc_756,756.0,on,-0.035,0.75,0.9614,0.9687955065529437,0.9894782048529096,0.9216,136.0,59.0,15.0,0.0002,0.078,0.0002,0.568,1.328959101310589
fixed_current_weights,,off,-0.035,0.75,0.9638,0.9678356505499066,0.9871355060034306,0.9208,134.0,59.0,15.0,0.0,0.0792,0.0,0.5628,1.3282791301099812
rolling_erc_504,504.0,off,-0.035,0.75,0.9618,0.9677687668954045,0.9894714224323163,0.921,136.0,60.0,15.0,0.0,0.0788,0.0002,0.6424,1.327269753379081
rolling_erc_756,756.0,on,-0.03,0.75,0.9622,0.9679900228642694,0.9903371269057333,0.9224,135.0,59.0,15.0,0.0,0.0776,0.0,0.909,1.3267680045728538
fixed_current_weights,,off,-0.03,0.75,0.9652,0.967882304185661,0.9867266110040677,0.9218,134.0,58.0,15.0,0.0,0.078,0.0002,0.9716,1.3262204608371322
rolling_erc_252,252.0,off,-0.03,0.75,0.9636,0.9694894146948941,0.9873688717619353,0.9224,138.0,61.0,15.0,0.0,0.0776,0.0,1.0904,1.3256738829389787
rolling_erc_756,756.0,off,-0.04,0.75,0.9604,0.9670970428987922,0.9885874246339362,0.9182,135.0,59.0,15.0,0.0002,0.0816,0.0,0.3484,1.3253154085797585
rolling_erc_504,504.0,off,-0.03,0.75,0.9614,0.9679633867276888,0.9881796690307328,0.9196,136.0,60.0,15.0,0.0,0.0802,0.0002,0.983,1.3216826773455375
rolling_erc_756,756.0,off,-0.035,0.75,0.96,0.9660416666666667,0.9883545395729998,0.9166,135.5,59.0,15.0,0.0002,0.0832,0.0,0.5698,1.3203703333333332
rolling_erc_756,756.0,off,-0.03,0.75,0.9602,0.9666736096646532,0.9894419306184012,0.9184,134.0,59.0,15.0,0.0,0.0814,0.0002,0.9732,1.3193627219329305
fixed_current_weights,,on,-0.03,1.0,0.9326,0.9457430838515977,0.9723356009070295,0.8576,92.0,41.0,15.0,0.0,0.1424,0.0,1.718,1.2081486167703197
rolling_erc_252,252.0,on,-0.03,1.0,0.9302,0.9447430660073103,0.9720072826581703,0.8542,94.0,42.0,15.0,0.0,0.1458,0.0,1.6264,1.2030446132014618
rolling_erc_252,252.0,on,-0.045,0.75,0.9074,0.9552567776063479,0.9866174434702354,0.8552,131.0,58.0,15.0,0.0908,0.054,0.0,0.1952,1.1959593555212695
rolling_erc_504,504.0,on,-0.03,1.0,0.9278,0.9426600560465618,0.9723302080951292,0.8504,93.0,41.0,15.0,0.0,0.1496,0.0,1.655,1.1959220112093123
rolling_erc_756,756.0,on,-0.03,1.0,0.9278,0.9413666738521232,0.9706892603618045,0.8478,92.0,41.0,15.0,0.0,0.1522,0.0,1.806,1.1902533347704245
rolling_erc_252,252.0,off,-0.03,1.0,0.924,0.9422077922077922,0.9728922582127268,0.847,93.0,41.0,15.0,0.0,0.153,0.0,1.6998,1.1891435584415584
fixed_current_weights,,off,-0.03,1.0,0.9226,0.9425536527205723,0.9717111315547378,0.845,90.0,40.0,15.0,0.0,0.155,0.0,1.8238,1.1845527305441146
fixed_current_weights,,on,-0.045,0.75,0.8982,0.950790469828546,0.9864168618266979,0.8424,127.0,58.0,15.0,0.1012,0.0562,0.0002,0.2612,1.1704660939657092
fixed_current_weights,,on,-0.035,1.0,0.9166,0.9389046476107353,0.9697885196374623,0.8346,91.0,41.0,15.0,0.0164,0.149,0.0,1.1228,1.1701529295221471
rolling_erc_504,504.0,on,-0.045,0.75,0.9048,0.9482758620689655,0.9797202797202798,0.8406,130.0,58.0,15.0,0.1002,0.059,0.0002,0.1918,1.1701371724137928
rolling_erc_504,504.0,off,-0.03,1.0,0.9176,0.9387532693984307,0.9714418388669608,0.8368,92.0,41.0,15.0,0.0,0.1632,0.0,1.8238,1.169992653879686
rolling_erc_756,756.0,off,-0.03,1.0,0.919,0.9368879216539717,0.9707317073170731,0.8358,92.0,41.0,15.0,0.0,0.1642,0.0,1.9294,1.1674835843307942
rolling_erc_504,504.0,on,-0.035,1.0,0.9104,0.9395869947275922,0.9693710544774374,0.8292,92.0,41.0,15.0,0.0226,0.1482,0.0,0.9344,1.1609733989455184
fixed_current_weights,,off,-0.045,0.75,0.895,0.949050279329609,0.9828113962797269,0.8348,127.0,58.0,15.0,0.1032,0.0618,0.0002,0.2618,1.1573520558659216
rolling_erc_756,756.0,on,-0.04,1.0,0.9084,0.9365918097754293,0.9694405265632347,0.8248,91.0,41.0,15.0,0.0218,0.1534,0.0,0.6406,1.1562723619550856
fixed_current_weights,,off,-0.035,1.0,0.9094,0.9355619089509567,0.9677950164551011,0.8234,90.0,40.0,15.0,0.0158,0.1608,0.0,1.1964,1.1499083817901912
rolling_erc_756,756.0,on,-0.035,1.0,0.9084,0.9346103038309115,0.9696113074204947,0.8232,92.0,41.0,15.0,0.0212,0.1556,0.0,1.0838,1.1491640607661824
rolling_erc_756,756.0,on,-0.045,0.75,0.9008,0.9427175843694494,0.9745642958078191,0.8276,130.0,59.0,15.0,0.1058,0.0666,0.0,0.2532,1.1464915168738896
rolling_erc_756,756.0,off,-0.04,1.0,0.9046,0.9347778023435773,0.96759697256386,0.8182,91.0,41.0,15.0,0.022,0.1598,0.0,0.6878,1.1443575604687153
rolling_erc_504,504.0,off,-0.035,1.0,0.9032,0.9351195748449955,0.9682690030783803,0.8178,91.0,41.0,15.0,0.0216,0.1606,0.0,1.0726,1.139637914968999
rolling_erc_252,252.0,on,-0.035,1.0,0.9076,0.9303657999118554,0.9668403600189484,0.8164,93.0,41.0,15.0,0.0468,0.1368,0.0,0.9478,1.1341151599823711
rolling_erc_756,756.0,off,-0.035,1.0,0.9028,0.9304386353566682,0.9678571428571429,0.813,91.0,40.0,15.0,0.0202,0.1668,0.0,1.2188,1.1301997270713335
rolling_erc_252,252.0,off,-0.035,1.0,0.9034,0.9289351339384547,0.9663965681601525,0.811,92.0,41.0,15.0,0.047,0.142,0.0,1.0312,1.1235950267876909
rolling_erc_252,252.0,off,-0.045,0.75,0.8758,0.939483900433889,0.9829849295089936,0.8088,126.0,58.0,15.0,0.1492,0.0418,0.0002,0.2474,1.1016227800867777
rolling_erc_252,252.0,on,-0.03,1.25,0.9044,0.9214949137549757,0.953203743700504,0.7944,70.0,30.0,15.0,0.0004,0.2052,0.0,2.6354,1.090784982750995
rolling_erc_252,252.0,off,-0.03,1.25,0.9,0.9228888888888889,0.9556946785456296,0.7938,69.0,31.0,15.0,0.0004,0.2058,0.0,2.6698,1.0884997777777778
rolling_erc_504,504.0,off,-0.045,0.75,0.8736,0.9326923076923077,0.976926853215513,0.796,126.0,57.0,15.0,0.1574,0.0462,0.0004,0.2446,1.0788924615384616
fixed_current_weights,,on,-0.04,1.0,0.8754,0.9248343614347727,0.962697628458498,0.7794,88.0,40.0,15.0,0.082,0.1386,0.0,0.6066,1.0642208722869548
fixed_current_weights,,off,-0.04,1.0,0.8736,0.9242216117216118,0.9628436958137231,0.7774,88.5,39.0,15.0,0.079,0.1436,0.0,0.644,1.0607843223443223
