Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score,Dropped Strategy,Drop Mode,Full Payout Overall,Delta Payout Overall vs Full,Full Mean Total Days To Payout,Delta Mean Total Days vs Full,Full Raw Sharpe,Delta Raw Sharpe vs Full
anchor_grid_tf1p75_mreq1p5_mrfx6p75,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 1.5, ""TF_EQ"": 1.75}",1.75,1.5,0.0,3.25,0.75,-0.04,609950.4145387268,0.19564484849288744,0.9763433352591074,0.8069536032484035,-24.244869556975303,-0.0918435346422446,16,114.5968862934388,345.016255211404,0.807,0.8495662949194548,0.9186114352392065,0.6298,120.0,63.0,27.0,0.141,0.229,0.0002,0.6234,276.05080978088284,244.0,174.0,344.0,467.0,0.05223897554779301,MR_FX,drop_no_renorm,0.7772,-0.14739999999999998,199.253474009264,76.79733577161883,1.3131737766014446,-0.3368304413423372
anchor_grid_tf1p75_mreq1p5_mrfx6p75,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 4.615384615384616, ""TF_EQ"": 5.384615384615384}",5.384615384615384,4.615384615384616,0.0,10.0,0.75,-0.04,35332486.179680824,0.5978444073735849,1.0200824437227314,0.9385678095039207,-63.69751884944521,-0.24369666018811809,395,336.1182795142989,1307.8459553120115,0.3814,0.41269008914525435,0.5628970775095299,0.0886,38.0,32.0,21.0,0.7046,0.2068,0.0,2.0788,100.26185101580135,98.0,79.0,117.0,134.0,-1.7102426275395035,MR_FX,drop_renorm_to_total,0.7772,-0.6886,199.253474009264,-98.99162299346266,1.3131737766014446,-0.29309133287871325
anchor_grid_tf1p75_mreq1p5_mrfx6p75,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 1.5, ""MR_FX"": 6.75}",0.0,1.5,6.75,8.25,0.75,-0.04,405606.758177282,0.16130040452905803,1.258923447786402,0.9380886010282983,-17.194581018492972,-0.07095468915387894,5,81.87877864495604,834.4771519917127,0.9456,0.9560067681895094,0.9915929203539823,0.8964,203.0,97.0,15.0,0.0,0.0988,0.0048,0.4924,389.42904953145916,352.0,258.0,480.0,642.9000000000001,0.715503376171352,TF_EQ,drop_no_renorm,0.7772,0.11919999999999997,199.253474009264,190.17557552219515,1.3131737766014446,-0.05425032881504266
anchor_grid_tf1p75_mreq1p5_mrfx6p75,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 1.8181818181818183, ""MR_FX"": 8.181818181818182}",0.0,1.8181818181818183,8.181818181818182,10.0,0.75,-0.04,623056.7059960888,0.19746206655321719,1.2601688311328603,0.9558520441530619,-20.658225063292047,-0.08598369773562947,15,99.30726583734794,1014.2179409875613,0.886,0.9390519187358917,0.9855769230769231,0.82,160.0,76.0,15.0,0.0556,0.1236,0.0008,0.6532,320.7468292682927,286.0,205.75,398.25,533.0,0.5968009268292682,TF_EQ,drop_renorm_to_total,0.7772,0.04279999999999995,199.253474009264,121.49335525902868,1.3131737766014446,-0.053004945468584364
anchor_grid_tf1p75_mreq1p75_mrfx6p5,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 6.5, ""TF_EQ"": 1.75}",1.75,0.0,6.5,8.25,0.75,-0.04,713796.4283460968,0.20914895632856423,1.1335059698202115,1.0892887638639503,-19.200506171262266,-0.10260802622911286,13,153.15402169768703,842.0026720273461,0.8958,0.9102478231748158,0.9565857247976454,0.78,122.0,51.0,15.0,0.0572,0.1626,0.0002,0.3778,263.631282051282,230.0,155.0,335.0,456.0999999999999,0.620143794871795,MR_EQ,drop_no_renorm,0.7346,0.045399999999999996,191.47508848352845,72.15619356775358,1.305335357263418,-0.17182938744320664
anchor_grid_tf1p75_mreq1p75_mrfx6p5,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 7.878787878787879, ""TF_EQ"": 2.121212121212121}",2.121212121212121,0.0,7.878787878787879,10.0,0.75,-0.04,1195190.769514801,0.25450262185700345,1.1381053790459923,1.1132895944845072,-22.860415036471014,-0.12175010420828551,28,184.78396850480405,1025.2267284215336,0.884,0.9095022624434389,0.959452736318408,0.7714,94.0,40.0,15.0,0.0,0.2286,0.0,0.8358,211.77962146746177,182.0,122.0,271.0,375.0,0.7763929463313455,MR_EQ,drop_renorm_to_total,0.7346,0.036799999999999944,191.47508848352845,20.304532983933314,1.305335357263418,-0.1672299782174258
anchor_grid_tf1p75_mreq1p75_mrfx6p5,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 1.75, ""TF_EQ"": 1.75}",1.75,1.75,0.0,3.5,0.75,-0.04,710066.0203642312,0.20869644209587945,0.9893683685868317,0.8656264511453075,-24.109295853858658,-0.0918435346422446,21,118.02512605475017,373.93448798869196,0.7996,0.8491745872936468,0.9216494845360824,0.6258,112.0,60.0,27.0,0.1314,0.2426,0.0002,0.5826,259.3288590604027,232.0,164.0,321.0,432.0,0.09205185234899332,MR_FX,drop_no_renorm,0.7346,-0.10880000000000001,191.47508848352845,67.85377057687424,1.305335357263418,-0.31596698867658635
anchor_grid_tf1p75_mreq1p75_mrfx6p5,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 5.0, ""TF_EQ"": 5.0}",5.0,5.0,0.0,10.0,0.75,-0.04,35970664.54800709,0.5998889754662466,1.0309178242489123,0.9938481154792805,-60.36022669087136,-0.24331063217222576,379,323.765448866194,1303.9934002406324,0.3868,0.41675284384694933,0.5769230769230769,0.093,38.0,31.0,20.0,0.698,0.209,0.0,2.181,99.85806451612903,97.0,78.0,115.0,138.0,-1.6904551612903227,MR_FX,drop_renorm_to_total,0.7346,-0.6416000000000001,191.47508848352845,-91.61702396739942,1.305335357263418,-0.2744175330145058
anchor_grid_tf1p75_mreq1p75_mrfx6p5,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 1.75, ""MR_FX"": 6.5}",0.0,1.75,6.5,8.25,0.75,-0.04,453744.69091313874,0.17064157595490537,1.2149328466347646,0.9188920065903549,-18.57036242899629,-0.07169951184998911,10,83.03289901419775,834.2138089399427,0.9046,0.9493698872429803,0.9883558453656265,0.8488,188.0,91.0,15.0,0.0362,0.1128,0.0022,0.44,367.79665409990577,329.0,242.0,454.0,604.7000000000003,0.5885083647502356,TF_EQ,drop_no_renorm,0.7346,0.11419999999999997,191.47508848352845,176.3215656163773,1.305335357263418,-0.09040251062865345
anchor_grid_tf1p75_mreq1p75_mrfx6p5,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 2.121212121212121, ""MR_FX"": 7.878787878787879}",0.0,2.121212121212121,7.878787878787879,10.0,0.75,-0.04,712550.8256141557,0.2089981041687381,1.2163656367806455,0.9359284900985156,-22.33056332612965,-0.08665241762758022,23,100.72200345352724,1013.8400866810151,0.8234,0.9074568860820986,0.9724304068522484,0.7266,146.0,70.0,15.0,0.1416,0.131,0.0008,0.7122,294.7007982383705,263.0,191.0,365.0,491.8000000000002,0.2951260044040737,TF_EQ,drop_renorm_to_total,0.7346,-0.008000000000000007,191.47508848352845,103.22570975484206,1.305335357263418,-0.08896972048277263
