Case,date,WorstTimestamp,MinIntradayDD,DayStartEquity,EquityAtWorst,DayPeakBeforeWorst,DayEndEquity,DayPnL,DayReturn,GrossExposureAtWorstPct,MaxGrossExposureDayPct,AvgGrossExposureDayPct,OpenPositionsAtWorst,PnLDay_MR_EQ,PnLToWorst_MR_EQ,GrossAtWorst_MR_EQ_PctOfEquity,PnLDay_MR_FX,PnLToWorst_MR_FX,GrossAtWorst_MR_FX_PctOfEquity,PnLDay_TF_EQ,PnLToWorst_TF_EQ,GrossAtWorst_TF_EQ_PctOfEquity,MktPnLDay_EURCAD,MktPnLToWorst_EURCAD,MktGrossAtWorst_EURCAD_PctOfEquity,MktPnLDay_EURCHF,MktPnLToWorst_EURCHF,MktGrossAtWorst_EURCHF_PctOfEquity,MktPnLDay_EURUSD,MktPnLToWorst_EURUSD,MktGrossAtWorst_EURUSD_PctOfEquity,MktPnLDay_US100,MktPnLToWorst_US100,MktGrossAtWorst_US100_PctOfEquity,MktPnLDay_US30,MktPnLToWorst_US30,MktGrossAtWorst_US30_PctOfEquity,MktPnLDay_US500,MktPnLToWorst_US500,MktGrossAtWorst_US500_PctOfEquity,MktPnLDay_USDCHF,MktPnLToWorst_USDCHF,MktGrossAtWorst_USDCHF_PctOfEquity,EURUSD_RegimeSourceClosedDay,EURUSD_TrendRegime,EURUSD_VolRegime,EURUSD_BadRegime,EURUSD_CandidateRegimeMultiplier,MR_FX_MultiplierUsed
MR_FX_REGIME_MULTIPLIER_0.75,2025-04-03,2025-04-03 16:00:00,-0.08710558594265451,856250.2229940742,781666.0456066468,856250.2229940742,801063.2156456903,-55187.00734838389,-0.06445196259968256,406.14668122043594,406.14668122043594,280.16371472818116,2,0.0,0.0,0.0,-55187.00734838395,-74584.17738742742,406.14668122043594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21955.942184996034,-31857.641601758427,211.15294321376106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33231.06516338791,-42726.53578566899,194.99373800667487,2025-04-02,trend_flat_or_up,mid_vol,False,1.0,1.0
MR_FX_REGIME_MULTIPLIER_0.75,2020-06-11,2020-06-11 21:00:00,-0.07888449815727819,362404.8634220641,336848.26262518065,365436.3884059871,338608.7279581295,-23796.135463934625,-0.0656617442692019,336.4039418867216,752.1046469985394,463.2853109597815,4,0.0,0.0,0.0,-2293.542569870333,-2945.532331077731,219.65948363648425,-23450.87177252496,-24559.347344266425,116.74445825023739,-5212.531385845396,-5864.521147052787,219.65948363648425,394.245745099317,394.245745099317,0.0,1442.1468555871397,1442.1468555871397,0.0,-5642.316326031934,-6012.065954079269,34.48466323497253,-10151.888179722002,-10474.504792568325,42.96246161369377,-7656.66726677103,-8072.776597618824,39.297333401571095,1082.5962152886023,1082.5962152886023,0.0,2020-06-10,trend_flat_or_up,mid_vol,False,1.0,1.0
MR_FX_REGIME_MULTIPLIER_0.75,2015-01-26,2015-01-26 21:00:00,-0.07413779369486036,101058.14147597706,94603.4145115421,102095.6421554741,95131.38983387721,-5926.751642099844,-0.05864694873206944,310.6200443921938,310.6200443921938,261.884557843874,3,700.6441709083219,617.6452977216704,62.81528860183744,-6627.395813008159,-7072.372262156638,247.80475579035638,0.0,0.0,0.0,0.0,0.0,0.0,-7354.482901768406,-7799.459350916885,247.80475579035638,0.0,0.0,0.0,0.0,0.0,0.0,304.3210134664673,279.10480727987715,31.378701179754643,396.3231574418546,338.5404904417928,31.43658742208279,727.0870887602478,727.0870887602478,0.0,2015-01-25,trend_down,high_vol,False,1.0,1.0
MR_FX_REGIME_MULTIPLIER_0.75,2021-11-26,2021-11-26 16:00:00,-0.061957913015528464,558730.7371296082,524112.9467194298,558730.7371296082,525148.9196994712,-33581.81743013696,-0.06010375874908602,371.7968519153769,546.4529230978467,401.5210439937782,4,-4409.95571959918,-3595.869845729132,30.44211896626995,-25289.059947888643,-28079.610232881823,305.05637143555396,-4306.789932269836,-3366.298501188081,36.29836151355301,-13658.031827399876,-16682.83032539031,164.5524394393581,-2870.6057689759764,-2870.6057689759764,0.0,0.0,0.0,0.0,-4306.789932269821,-3366.2985011880664,36.29836151355301,-4409.95571959918,-3595.8698457291393,30.44211896626995,0.0,0.0,0.0,-8760.422351512801,-8526.174138515536,140.5039319961959,2021-11-25,trend_down,mid_vol,True,0.75,0.75
MR_FX_REGIME_MULTIPLIER_0.75,2016-06-24,2016-06-24 06:00:00,-0.06082391241804786,143085.83771508076,134679.01071767672,143382.0511791218,142431.91056678406,-653.9271482967015,-0.004570173811323186,870.2531292162168,870.2531292162168,201.57140596264358,5,0.0,0.0,0.0,1342.6518631095896,-8406.826997404052,829.5120837710599,-1996.5790114062875,0.0,40.741045445157056,-1922.9600807224733,-3899.6168356201097,210.83040947718047,426.46899256100914,-2345.986618022982,236.95242065320804,2926.5730012759195,-2099.392863725323,196.59710861940474,0.0,0.0,0.0,0.0,0.0,0.0,-1996.5790114062875,0.0,40.741045445157056,-87.4300500048721,-61.83068003563676,185.13214502126644,2016-06-23,trend_flat_or_up,high_vol,False,1.0,1.0
MR_FX_REGIME_MULTIPLIER_0.75,2015-08-12,2015-08-12 17:00:00,-0.05479200918410381,106268.40473847829,101321.37321446484,107144.0326228756,102844.43056259822,-3423.9741758800665,-0.03222005810952289,390.6344123189691,596.3066805774687,314.19407597126747,2,0.0,0.0,0.0,-3423.9741758800483,-4947.0315240134405,390.6344123189691,0.0,0.0,0.0,615.1333174235815,615.1333174235815,0.0,426.43959548042267,426.43959548042267,0.0,-1827.3481207655514,-2563.4141974666345,202.37158670480687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2638.1989680185015,-3425.190239450809,188.26282561416224,2015-08-11,trend_down,high_vol,False,1.0,1.0
MR_FX_REGIME_MULTIPLIER_0.75,2015-06-23,2015-06-23 22:00:00,-0.05260696964334949,110022.49534634063,104299.19901561894,110087.14908838944,104389.10115462838,-5633.394191712243,-0.051202203458291295,328.3185775685772,691.9636156983973,489.15546115926327,4,0.0,0.0,0.0,-5724.8722771802895,-5814.774416189732,209.41018859841188,91.47808546803753,91.47808546803753,118.90838897016536,-2034.8520360504554,-2124.7541750598966,209.41018859841188,173.90995727700215,173.90995727700215,0.0,-2879.662730969163,-2879.662730969163,0.0,32.25681520388389,32.25681520388389,34.51020842650576,45.10303171466694,45.10303171466694,43.97073730452774,14.118238549486705,14.118238549486705,40.427443239131854,-984.2674674376758,-984.2674674376758,0.0,2015-06-22,trend_down,high_vol,False,1.0,1.0
MR_FX_REGIME_MULTIPLIER_0.75,2013-06-20,2013-06-20 20:00:00,-0.051813835582909244,64416.89934488314,61079.21271346655,64416.89934488314,61095.33582007065,-3321.563524812489,-0.05156354246467365,205.79546384850778,429.1095800412484,319.3359070193023,6,-1344.0989590808847,-1347.080675740822,90.03015863595479,-238.9927826360563,-238.9927826360563,0.0,-1677.8798163765787,-1691.0212063207393,115.76530521255295,0.0,0.0,0.0,160.2870443170318,160.2870443170318,0.0,-399.27982695308947,-399.27982695308947,0.0,-1018.4376913020327,-939.0257865361893,63.610114049761215,-999.8027343211536,-1042.0354928097343,72.88296966335231,-1003.7383498342772,-1057.0406027156378,69.30238013539423,0.0,0.0,0.0,2013-06-19,trend_flat_or_up,low_vol,False,1.0,1.0
MR_FX_REGIME_MULTIPLIER_0.75,2013-12-27,2013-12-27 12:00:00,-0.0480979580483111,78990.53864102912,75191.25502725941,78990.53864102912,76114.40117291924,-2876.1374681098823,-0.036411164141827546,520.6162330603897,730.09960869166,379.75017091162925,5,0.0,0.0,0.0,-2834.4286419097807,-3842.9504182789588,403.39829393742895,-112.57006230063052,-27.194431591287866,117.21793912296083,-1549.3278290560163,-1962.8064361010804,216.72284794876145,30.437538105819385,30.437538105819385,0.0,0.0,0.0,0.0,-95.10926104601526,-11.234554527330374,33.939050553439074,-17.557931704385737,0.13140078155447554,43.65147189629582,0.09713044976933816,-16.09127784551265,39.627416673225945,-1315.538350959585,-1910.5815202836984,186.67544598866746,2013-12-26,trend_flat_or_up,low_vol,False,1.0,1.0
MR_FX_REGIME_MULTIPLIER_0.75,2020-09-03,2020-09-03 20:00:00,-0.04747187284484163,433531.4591085333,413588.21261743945,434168.7629184784,416458.5639746946,-17072.895133838698,-0.039380983260005054,109.217593192767,337.7734838296196,175.5859934742743,3,0.0,0.0,0.0,-261.4386839259532,-261.4386839259532,0.0,-16646.68618925434,-19517.037546509528,109.217593192767,0.0,0.0,0.0,-261.43868392597506,-261.43868392597506,0.0,0.0,0.0,0.0,-6936.072951667011,-7848.267661000937,32.04738575290417,-4506.514250972425,-5531.03023996226,40.89152900520139,-5204.0989866149175,-6137.739645546331,36.27867843466144,0.0,0.0,0.0,2020-09-02,trend_flat_or_up,mid_vol,False,1.0,1.0
