Budget Case,Strategy,Target Budget,Target Budget Share %,Total PnL,PnL Contribution %,Avg Daily PnL,Daily Vol,Sharpe-like Daily,Positive Days %,Worst Day,Avg Losing Day,Corr To Portfolio Daily PnL,Variance Contribution Approx %,PnL In MaxDD Window,MaxDD Loss Contribution %,Avg Gross Exposure %,Max Gross Exposure %
equal_clusters,MR_EQ,3.333333333333333,33.33333333333333,4098603.4047799893,41.716919612655175,801.4476739890475,30090.076203959878,0.026634949960132583,9.913961673836527,-395154.20158201456,-29081.068281979304,0.6077312422054855,31.920921484101406,-543130.916575647,29.950882468368,46.185281069888994,427.0773054736404
equal_clusters,MR_FX,3.333333333333333,33.33333333333333,656973.851497086,6.686893715687914,128.4657511726801,5328.914459807002,0.024107302179763784,43.56667970277669,-155334.48082620872,-3597.126183031405,0.09781732302191878,0.9099029885661515,-52523.44848200803,2.8963986109210937,30.34002413929905,349.2391970111838
equal_clusters,TF_EQ,3.333333333333333,33.33333333333333,5069221.513229015,51.59618667165694,991.243940795662,45339.255332610475,0.021862819173448247,29.429018380915135,-696951.0077636559,-29104.556292411155,0.8487016870376374,67.16917552733244,-640478.4022906655,35.3190966765083,173.490335067097,394.60326106331735
tf_eq_core,MR_EQ,2.8571428571428568,28.57142857142857,4328547.5519672455,35.21778498651565,846.4113320233174,31077.804365912965,0.02723523586343461,9.913961673836527,-392023.1541340938,-29749.405811676326,0.481613759060042,18.70572899549731,234002.0341072292,-7.516181302774102,39.53293184812915,346.31944980618727
tf_eq_core,MR_FX,2.8571428571428568,28.57142857142857,659555.7473427479,5.366255589818066,128.9706193474282,5520.319788640291,0.023362889159578005,43.56667970277669,-151557.9260430209,-3717.5841094690836,0.07582121302902818,0.5230947834468783,448456.840610496,-14.40450265040505,26.001998471480853,303.48701895301133
tf_eq_core,TF_EQ,4.285714285714286,42.857142857142854,7302696.799630299,59.41595942366627,1427.9813843625927,70230.16963104159,0.020332876765990722,29.409464215877986,-1102002.3146600928,-44930.13571481391,0.9202530508991466,80.77117622105584,-3534232.7853288315,113.52010029351767,219.65419890237283,517.706245414782
mr_eq_core,MR_EQ,4.285714285714286,42.857142857142854,5643580.832251082,50.22092595443005,1103.5551099435045,44062.62743831054,0.025045149917319983,9.913961673836527,-604094.1474264893,-42241.67921020753,0.7415864375839942,49.816342312349434,-1016376.3474447452,44.48804897969544,59.773146207038444,622.3407751564354
mr_eq_core,MR_FX,2.8571428571428568,28.57142857142857,622690.7117646928,5.541181221209217,121.76196944949018,5175.341774455793,0.023527329161230886,43.56667970277669,-155597.087522759,-3435.8541191429827,0.07960442368875996,0.6280813616663604,41428.826339898456,-1.81339093536993,26.003077251878306,297.34181234538113
mr_eq_core,TF_EQ,2.8571428571428568,28.57142857142857,4971236.97458862,44.237892824360735,972.0838823990262,43837.55522975627,0.022174682810303947,29.429018380915135,-677571.391010257,-27770.397391638773,0.741492115406405,49.555576325984205,-581839.9498508926,25.467853765376287,149.86028471295887,342.15438540055067
mr_fx_core,MR_EQ,2.8571428571428568,28.57142857142857,2537861.491566479,39.797911660816126,496.2576244752599,17816.78431460848,0.027853377787615936,9.913961673836527,-229994.64474714198,-17585.368544643217,0.5999901128076618,31.200557562412573,-311724.5601831062,29.521575963534108,39.400849272404926,345.152239677625
mr_fx_core,MR_FX,4.285714285714286,42.857142857142854,622982.8402890761,9.769412604438624,121.8190927432687,4724.295899041446,0.02578566104802742,43.56667970277669,-140057.8899885601,-3270.6290648848567,0.14238415075311497,1.9633045774821987,-63895.15469240213,6.051129438904375,39.01832356584689,445.89382954144827
mr_fx_core,TF_EQ,2.8571428571428568,28.57142857142857,3216026.678854247,50.43267573474526,628.8671644220271,27062.867438589325,0.023237270250428696,29.429018380915135,-398412.0803689929,-17728.08678683109,0.8461524127780989,66.83613786010524,-349157.1512022936,33.06659365041681,149.95713689656728,327.9363772302454
