Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score,Dropped Strategy,Drop Mode,Full Payout Overall,Delta Payout Overall vs Full,Full Mean Total Days To Payout,Delta Mean Total Days vs Full,Full Raw Sharpe,Delta Raw Sharpe vs Full
balanced_tf_mrfx,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 2.8571428571428568, ""TF_EQ"": 3.5714285714285716}",3.5714285714285716,2.8571428571428568,0.0,6.428571428571429,0.75,-0.04,4965296.101257699,0.388849001329155,0.9925919145901714,0.8413327116237584,-46.21821973125029,-0.16558078999474143,167,225.04948588087842,749.3613286432887,0.5756,0.6240444753300903,0.7683741648106904,0.276,51.0,40.0,23.0,0.4696,0.2544,0.0,1.7356,133.95,123.0,99.0,158.0,200.10000000000014,-0.993831,MR_FX,drop_no_renorm,0.4156,-0.1396,94.59143407122232,39.358565928777665,1.101399264492543,-0.10880734990237162
balanced_tf_mrfx,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 4.444444444444444, ""TF_EQ"": 5.555555555555555}",5.555555555555555,4.444444444444444,0.0,10.0,0.75,-0.04,34890919.22728302,0.5964095648254759,1.0140903301028412,0.9156445345045262,-65.13549115959123,-0.2439869026811178,402,341.5633536739464,1309.672904948507,0.3766,0.39298990971853426,0.5621621621621622,0.0832,37.0,31.0,21.0,0.7158,0.201,0.0,2.143,99.83413461538461,97.0,79.0,116.0,133.0,-1.7372153365384615,MR_FX,drop_renorm_to_total,0.4156,-0.33240000000000003,94.59143407122232,5.24270054416229,1.101399264492543,-0.08730893438970178
balanced_tf_mrfx,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 2.8571428571428568, ""MR_FX"": 3.5714285714285716}",0.0,2.8571428571428568,3.5714285714285716,6.428571428571429,0.75,-0.04,540013.9885631029,0.1852883195456836,0.9516900258464783,0.7088781420839945,-26.138246977253942,-0.11877091291844598,41,71.72358704852358,656.8156059071835,0.7462,0.838917180380595,0.9380191693290735,0.5872,149.0,75.0,15.0,0.23,0.1824,0.0004,1.178,294.5735694822888,269.0,194.0,365.0,477.0,-0.21621392370572196,TF_EQ,drop_no_renorm,0.4156,0.17160000000000003,94.59143407122232,199.98213541106648,1.101399264492543,-0.14970923864606467
balanced_tf_mrfx,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 4.444444444444444, ""MR_FX"": 5.555555555555555}",0.0,4.444444444444444,5.555555555555555,10.0,0.75,-0.04,1859532.804415345,0.2947467071661025,0.9603193064605233,0.7327897316825898,-40.222548764339535,-0.2049109741129872,105,112.26802955705489,1041.5853783788064,0.6334,0.7634985790969372,0.8866832092638545,0.4288,89.0,46.0,15.0,0.3766,0.1946,0.0,1.6242,186.8955223880597,171.0,121.0,235.0,307.70000000000005,-0.5736808059701491,TF_EQ,drop_renorm_to_total,0.4156,0.01319999999999999,94.59143407122232,92.30408831683738,1.101399264492543,-0.14107995803201967
equity_core_balanced,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 2.8571428571428568, ""TF_EQ"": 3.5714285714285716}",3.5714285714285716,0.0,2.8571428571428568,6.428571428571429,0.75,-0.04,1430576.533955226,0.2707169512383081,0.8620879404177094,0.6116743272042484,-44.25834781650254,-0.17037908517038705,108,211.79876988108865,674.7436460657993,0.6614,0.7795585122467493,0.8118696664080682,0.4186,51.0,18.0,15.0,0.2958,0.2856,0.0,1.3676,122.62446249402771,107.0,72.0,155.0,216.0,-0.3602371562350693,MR_EQ,drop_no_renorm,0.3676,0.051000000000000045,86.75136017410229,35.87310231992542,1.0955519867473622,-0.23346404632965279
equity_core_balanced,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 4.444444444444444, ""TF_EQ"": 5.555555555555555}",5.555555555555555,0.0,4.444444444444444,10.0,0.75,-0.04,5535052.90395239,0.3996682759102863,0.8739962153991598,0.6561040699038644,-60.915378252240934,-0.2363562601369958,268,320.10018216916325,1093.1848189072837,0.5614,0.6775917349483435,0.7145110410094637,0.2718,28.0,11.0,15.0,0.4826,0.2456,0.0,1.9298,72.21044885945548,64.0,46.0,90.0,121.0,-0.8670241221486388,MR_EQ,drop_renorm_to_total,0.3676,-0.0958,86.75136017410229,-14.540911314646806,1.0955519867473622,-0.22155577134820237
equity_core_balanced,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 3.5714285714285716, ""TF_EQ"": 3.5714285714285716}",3.5714285714285716,3.5714285714285716,0.0,7.142857142857143,0.75,-0.04,7448179.117277501,0.4296679674485866,1.0136284520498966,0.9328311428241773,-46.06063709963119,-0.17293476922071171,195,235.0627072486264,849.0841636106476,0.5474,0.6035805626598465,0.7336561743341404,0.2424,48.0,39.0,22.0,0.5188,0.2388,0.0,1.8042,126.36468646864687,117.0,96.0,146.0,185.9000000000001,-1.1255537161716171,MR_FX,drop_no_renorm,0.3676,-0.12519999999999998,86.75136017410229,39.61332629454458,1.0955519867473622,-0.0819235346974656
equity_core_balanced,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 5.0, ""TF_EQ"": 5.0}",5.0,5.0,0.0,10.0,0.75,-0.04,35970664.54800709,0.5998889754662466,1.0309178242489123,0.9938481154792805,-60.36022669087136,-0.24331063217222576,379,323.765448866194,1303.9934002406324,0.3868,0.41675284384694933,0.5769230769230769,0.093,38.0,31.0,20.0,0.698,0.209,0.0,2.181,99.85806451612903,97.0,78.0,115.0,138.0,-1.6904551612903227,MR_FX,drop_renorm_to_total,0.3676,-0.27459999999999996,86.75136017410229,13.106704342026745,1.0955519867473622,-0.06463416249844989
equity_core_balanced,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 3.5714285714285716, ""MR_FX"": 2.8571428571428568}",0.0,3.5714285714285716,2.8571428571428568,6.428571428571429,0.75,-0.04,723667.8427272874,0.2103358900121619,0.8841570650263986,0.6429324394000668,-32.71508437316222,-0.15567636582799718,63,75.2823560940668,667.2649865916725,0.701,0.8196861626248216,0.9338670379394362,0.5366,122.0,61.0,15.0,0.284,0.1794,0.0,1.4092,242.63995527394707,225.0,158.0,304.0,397.0,-0.29489188818486767,TF_EQ,drop_no_renorm,0.3676,0.16899999999999998,86.75136017410229,155.8885950998448,1.0955519867473622,-0.21139492172096364
equity_core_balanced,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 5.555555555555555, ""MR_FX"": 4.444444444444444}",0.0,5.555555555555555,4.444444444444444,10.0,0.75,-0.04,2816438.1484048488,0.3337191500237324,0.896686008123433,0.6647477806694235,-50.202371444951034,-0.2784106626491218,155,118.31372370964992,1221.174430659829,0.534,0.652059925093633,0.8242389431361287,0.287,75.0,40.0,15.0,0.4988,0.2142,0.0,1.7088,164.9170731707317,152.0,105.0,210.0,271.0,-1.0671806829268293,TF_EQ,drop_renorm_to_total,0.3676,-0.0806,86.75136017410229,78.16571299662941,1.0955519867473622,-0.19886597862392918
