Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score
old_no_tf_fx_ratio,full,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,0.75,-0.04,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.9654,0.9724466542365858,0.9882829143587558,0.9278,136.0,60.0,15.0,0.0,0.072,0.0002,0.3516,281.7990946324639,249.0,174.0,355.0,486.0,1.07558626341884
mr_fx_core,full,"{""MR_EQ"": 2.8571428571428568, ""MR_FX"": 4.285714285714286, ""TF_EQ"": 2.8571428571428568}",2.8571428571428568,2.8571428571428568,4.285714285714286,10.0,0.75,-0.04,6426871.010709797,0.41468484627764357,1.1523471546830983,1.267683667822166,-32.71201300479456,-0.1458484104225656,119,228.37630973481907,940.695364229449,0.7504,0.8248933901918977,0.8788368336025848,0.544,51.0,21.0,15.0,0.167,0.289,0.0,1.4678,117.91948529411765,104.0,74.0,146.0,202.0,0.1555232867647061
mean_reversion_core,full,"{""MR_EQ"": 3.8461538461538463, ""MR_FX"": 3.8461538461538463, ""TF_EQ"": 2.307692307692308}",2.307692307692308,3.8461538461538463,3.8461538461538463,10.0,0.75,-0.04,7082636.07981813,0.4245377071010774,1.141764265643206,1.1214361423731103,-37.856610025310786,-0.17094739844121842,121,210.6390105038618,944.125723607611,0.7444,0.8186458893068242,0.8910403675746636,0.543,54.0,25.0,15.0,0.1672,0.2898,0.0,1.6526,121.65745856353591,107.0,78.0,149.5,207.5999999999999,0.14113035359116025
equal_clusters,full,"{""MR_EQ"": 3.333333333333333, ""MR_FX"": 3.333333333333333, ""TF_EQ"": 3.333333333333333}",3.333333333333333,3.333333333333333,3.333333333333333,10.0,0.75,-0.04,9874798.769506108,0.4587621318287518,1.1119742519624483,1.2340411884913551,-37.17559317364435,-0.1624933373357998,169,250.01564027628498,963.4381121792466,0.673,0.7869242199108469,0.8376132930513596,0.4436,41.0,17.0,15.0,0.2776,0.2788,0.0,1.5994,95.79260595130748,85.0,61.0,117.75,160.0,-0.20227551487826878
mr_eq_core,full,"{""MR_EQ"": 4.285714285714286, ""MR_FX"": 2.8571428571428568, ""TF_EQ"": 2.8571428571428568}",2.8571428571428568,4.285714285714286,2.8571428571428568,10.0,0.75,-0.04,11287508.518604381,0.4727625492284808,1.105758632847691,1.1005045665893425,-42.958708539815994,-0.19674666344731334,178,235.6365081718756,971.8709810192669,0.677,0.7713441654357459,0.8372271160474913,0.4372,43.0,18.0,15.0,0.2718,0.291,0.0,1.6064,100.19853613906679,88.0,65.0,123.0,167.5,-0.22676034034766698
balanced_tf_mrfx,full,"{""MR_EQ"": 2.8571428571428568, ""MR_FX"": 3.5714285714285716, ""TF_EQ"": 3.5714285714285716}",3.5714285714285716,2.8571428571428568,3.5714285714285716,10.0,0.75,-0.04,9108438.085054893,0.4503680069410576,1.101399264492543,1.1919245368152276,-37.78494300859197,-0.17158355103918796,167,257.1587519564385,962.0555327973811,0.6626,0.7754301237549049,0.808875048657065,0.4156,40.0,16.0,15.0,0.3256,0.2588,0.0,1.5098,94.59143407122232,84.0,60.0,115.0,160.0,-0.3303765851780558
equity_core_balanced,full,"{""MR_EQ"": 3.5714285714285716, ""MR_FX"": 2.8571428571428568, ""TF_EQ"": 3.5714285714285716}",3.5714285714285716,3.5714285714285716,2.8571428571428568,10.0,0.75,-0.04,12116021.566205649,0.48023350006307663,1.0955519867473622,1.211797672859377,-39.62984174824417,-0.17323174597408347,196,260.731184679055,981.04146747028,0.6224,0.7551413881748072,0.7821276595744681,0.3676,37.0,15.0,15.0,0.3806,0.2518,0.0,1.5888,86.75136017410229,79.0,57.0,106.0,142.0,-0.5105664004352558
tf_eq_core,full,"{""MR_EQ"": 2.8571428571428568, ""MR_FX"": 2.8571428571428568, ""TF_EQ"": 4.285714285714286}",4.285714285714286,2.8571428571428568,2.8571428571428568,10.0,0.75,-0.04,12340800.098940287,0.4821785326268313,1.056843025411593,1.00859707065242,-47.806854358096615,-0.19490203212903906,228,285.1891292219829,993.1695273214624,0.607,0.7275123558484349,0.7572463768115942,0.3344,33.0,13.0,15.0,0.3794,0.2862,0.0,1.8088,81.00956937799043,73.0,54.0,99.25,135.0,-0.5968119234449761
