Budget Case,Strategy,Target Budget,Target Budget Share %,Total PnL,PnL Contribution %,Avg Daily PnL,Daily Vol,Sharpe-like Daily,Positive Days %,Worst Day,Avg Losing Day,Corr To Portfolio Daily PnL,Variance Contribution Approx %,PnL In MaxDD Window,MaxDD Loss Contribution %,Avg Gross Exposure %,Max Gross Exposure %
old_anchor_1p125_0p875_8p000,MR_EQ,0.875,8.75,198922.95591198208,22.195296507153422,38.897723095811905,1116.717852094023,0.03483218524972311,9.913961673836527,-12277.754681628518,-1245.3742731690334,0.41574035798331754,14.770423289626253,-6386.912101855443,6.333426846580839,11.859871501975519,89.77572003452002
old_anchor_1p125_0p875_8p000,MR_FX,8.0,80.0,339308.8358643793,37.85918113362059,66.34900975056303,1751.8346047762586,0.03787401480120722,43.56667970277669,-51562.546027696924,-1434.4654633150817,0.5597222396256933,31.195572557006507,-65402.269201828385,64.85457776533876,72.90602764047635,830.4118559617752
old_anchor_1p125_0p875_8p000,TF_EQ,1.125,11.25,358007.44453152176,39.945522359226,70.00536654898744,2253.0918141676275,0.031070800625517304,29.429018380915135,-25447.74650986446,-1658.0360513798396,0.7538083871223937,54.034004153367285,-22236.216132107627,22.050005694700552,61.03300060465611,120.53913844189263
slightly_more_tf_1p50_1p00_7p50,MR_EQ,1.0,10.0,282710.1126798758,22.76703261150411,55.28160201014388,1632.9994206446631,0.033852799524154285,9.913961673836527,-18459.83009412815,-1780.232998629414,0.41029052092780416,13.949406154723325,-9528.887239833799,6.5558501398499756,13.57540786044994,103.84581164719555
slightly_more_tf_1p50_1p00_7p50,MR_FX,7.5,75.0,382434.5208878963,30.79797580031692,74.78187737346427,2115.9176468899354,0.03534252738209439,43.56667970277669,-62560.353976680664,-1679.3505475668549,0.44438404583124874,19.576516944616714,-51584.223018356905,35.48981399163307,68.339809258015,776.3272467611645
slightly_more_tf_1p50_1p00_7p50,TF_EQ,1.5,15.0,576607.4977004164,46.43499158817897,112.75078171693711,3830.704369887918,0.029433433340155163,29.429018380915135,-45662.82694818388,-2761.729111266609,0.8334805558024483,66.47407690066,-70913.01229405566,48.787971760412645,80.78190275242908,159.98042532142873
tf_accel_1p75_1p00_7p25,MR_EQ,1.0,10.0,318107.6636866209,21.67240550060781,62.203297553113195,1858.0211072923962,0.03347825130133157,9.894407508799375,-21182.339073892217,-2002.1610302882702,0.3826591382736028,11.751961218008104,-10911.918060888507,6.007978495283752,13.582565186224128,104.47352289516083
tf_accel_1p75_1p00_7p25,MR_FX,7.25,72.5,407887.67086723784,27.789041292767276,79.75902832757878,2334.6589153030413,0.03416303246901741,43.54712553773954,-68822.57218077732,-1824.279699440195,0.39065006291629467,15.07505677686802,-57979.19996585997,31.922690825290122,66.05704149400006,749.3985527905703
tf_accel_1p75_1p00_7p25,TF_EQ,1.75,17.5,741805.1072461967,50.538553206624925,145.05379492495047,5077.0418007311855,0.0285705339089507,29.429018380915135,-62126.667806960875,-3624.0924685571144,0.8719516381137395,73.17298200512384,-96111.78282237501,52.918059054156174,93.800186055076,187.44875393418644
moderate_more_tf_2p00_1p00_7p00,MR_EQ,1.0,10.0,356873.50865561585,20.71784981870774,69.78363485639731,2105.948926843647,0.03313643268689692,9.894407508799375,-24168.31959621655,-2244.708386840406,0.3587430903894355,10.009163956687598,-12440.938607845892,5.532318945253454,13.58977878231533,105.11146613174046
