Budget Case,Date,Cutoff Timestamp,Cutoff Level,Exposure Factor,Observed DD At Cutoff,Raw Historical DD At Cutoff,Day Start Equity Raw,Equity At Cutoff Raw,Gross Exposure At Cutoff % Raw,Gross Exposure At Cutoff % Scaled,Dominant Losing Strategy,MR_EQ PnL To Cutoff,MR_EQ Gross At Cutoff % Scaled,MR_FX PnL To Cutoff,MR_FX Gross At Cutoff % Scaled,TF_EQ PnL To Cutoff,TF_EQ Gross At Cutoff % Scaled
equal_clusters,2012-05-04,2012-05-04 17:00:00,-0.04,0.75,-0.04895054075510355,-0.0652673876734714,57134.70539101366,53405.672424648794,469.2677573032693,351.950817977452,TF_EQ,-573.1368135574932,85.88972686275908,65.41721250085766,0.0,-2289.0551237170193,266.0610911146929
equal_clusters,2012-06-01,2012-06-01 20:00:00,-0.04,0.75,-0.04017179967613649,-0.053562399568181984,47589.232744865374,45040.239245441684,248.13726241201505,186.10294680901129,MR_EQ,-1951.4264753611337,186.10294680901129,39.681350793372644,0.0,0.0,0.0
equal_clusters,2012-10-19,2012-10-19 19:00:00,-0.04,0.75,-0.0438469283494311,-0.0584625711325748,51355.771823524505,48353.38136022342,350.38629528640604,262.78972146480453,TF_EQ,0.0,0.0,0.0,0.0,-2251.7928474758073,262.78972146480453
equal_clusters,2012-11-07,2012-11-07 16:00:00,-0.04,0.75,-0.05410936370448849,-0.07214581827265132,45783.10688253744,42480.04717343252,349.37832095356293,262.0337407151722,TF_EQ,-26.582823606455122,0.0,27.554888808007945,0.0,-2478.265360229474,262.0337407151722
equal_clusters,2013-04-15,2013-04-15 21:00:00,-0.04,0.75,-0.04306288999042021,-0.057417186653893615,55543.066474834966,52353.93985971974,337.98742790282625,253.49057092711968,TF_EQ,0.0,0.0,-102.53789830308654,0.0,-2289.3070630333286,253.49057092711968
equal_clusters,2013-06-20,2013-06-20 11:00:00,-0.04,0.75,-0.04480455954919385,-0.05973941273225847,63622.81139293556,59822.022003946346,770.5030121183879,577.8772590887909,MR_EQ,-1367.0880880031025,262.3767460080664,-60.05855244812403,47.4739196893689,-1288.547747769027,268.0265933913556
equal_clusters,2013-08-27,2013-08-27 21:00:00,-0.04,0.75,-0.04122202184754281,-0.05496269579672375,64528.22055809088,60981.57560125263,325.41917131191866,244.06437848393898,MR_EQ,-1809.9677823781549,171.16258813095158,43.105431136095376,0.0,-893.121366386627,72.90179035298745
equal_clusters,2014-02-03,2014-02-03 19:00:00,-0.04,0.75,-0.0504730257684696,-0.0672973676912928,84959.91135101004,79242.33295780148,356.28407001717653,267.2130525128824,MR_EQ,-4288.183794906419,267.2130525128824,0.0,0.0,0.0,0.0
equal_clusters,2014-04-04,2014-04-04 21:00:00,-0.04,0.75,-0.04111440216470405,-0.05481920288627207,102509.25755521945,96889.78176757875,338.7166177727912,254.0374633295934,TF_EQ,0.0,0.0,-44.34728530701477,0.0,-4234.567987355356,254.0374633295934
equal_clusters,2015-03-25,2015-03-25 20:00:00,-0.04,0.75,-0.04791551131313773,-0.06388734841751698,167132.1298585689,156454.5012465328,351.4802929653446,263.6102197240084,TF_EQ,0.0,0.0,47.379427018585375,0.0,-8037.706767396923,263.6102197240084
