ERC Method,ERC Lookback,MR_FX Regime,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %
fixed_current_weights,,off,940486.510332191,0.23320769995032142,1.3991382763828402,1.1197519961578688,-20.826727771016408,-0.08710558594265444,8,147.73583461168207,969.1837713901025
fixed_current_weights,,on,972978.7988324708,0.23620347420162746,1.4294508816029412,1.2940736764758618,-18.252706819976282,-0.08710558594265451,8,146.02581016352235,969.1837713901023
rolling_erc_252,252.0,off,896325.5749710959,0.2289781703036593,1.4043247024489063,1.1154756369131589,-20.52740218847877,-0.0852801581764337,7,146.9435044416116,967.7297367105853
rolling_erc_252,252.0,on,923222.0430240849,0.23157659879712633,1.4312957588579656,1.275855605820285,-18.150690230203516,-0.08528015817643364,7,145.27322077396892,967.729736710585
rolling_erc_504,504.0,off,914599.4457529298,0.23075132459475078,1.4036830693541156,1.1298699977745208,-20.42282077135037,-0.08407567873928691,6,147.50129209566379,968.2966801338725
rolling_erc_504,504.0,on,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725
rolling_erc_756,756.0,off,910958.5367544859,0.23040067960740718,1.3948357074135096,1.1059641166024903,-20.832563746751166,-0.0836789277416236,6,147.6008866236747,968.6729022076273
rolling_erc_756,756.0,on,943452.5392304838,0.23348512034712887,1.4252886570845356,1.2608517860976158,-18.518046523911757,-0.08367892774162357,6,145.8833925329216,968.6729022076273
