Budget Case,Strategy,Target Budget,Target Budget Share %,Total PnL,PnL Contribution %,Avg Daily PnL,Daily Vol,Sharpe-like Daily,Positive Days %,Worst Day,Avg Losing Day,Corr To Portfolio Daily PnL,Variance Contribution Approx %,PnL In MaxDD Window,MaxDD Loss Contribution %,Avg Gross Exposure %,Max Gross Exposure %
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,MR_EQ,0.875,8.75,268363.12867016933,19.40135679311656,52.47616907903194,1551.6415042713147,0.03381977662660932,9.913961673836527,-17513.370790307148,-1678.23689063682,0.34788713780326974,9.452250297773837,-9039.461105231574,5.229560936261153,11.875384270515505,91.12368949909407
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,MR_FX,7.375,73.75,400738.16956648615,28.971432278744626,78.36100304389639,2263.085244824308,0.034625740777157445,43.54712553773954,-66422.49441816885,-1779.863614343998,0.4011563650005176,15.89717861167053,-56334.99336757061,32.59124379539339,67.19804266948037,762.8534652614533
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,TF_EQ,1.75,17.5,714117.0587670277,51.62721092813881,139.63962822976686,4851.618501185874,0.02878207101313406,29.429018380915135,-58834.560003246996,-3476.956555833699,0.8787008321317663,74.65057109055567,-91522.5443643562,52.948147818022406,93.80737696777018,187.35709646241048
fastest_80_tf1p75_mreq1p00_mrfx7p25,MR_EQ,1.0,10.0,318107.6636866209,21.67240550060781,62.203297553113195,1858.0211072923962,0.03347825130133157,9.894407508799375,-21182.339073892217,-2002.1610302882702,0.3826591382736028,11.751961218008104,-10911.918060888507,6.007978495283752,13.582565186224128,104.47352289516083
fastest_80_tf1p75_mreq1p00_mrfx7p25,MR_FX,7.25,72.5,407887.67086723784,27.789041292767276,79.75902832757878,2334.6589153030413,0.03416303246901741,43.54712553773954,-68822.57218077732,-1824.279699440195,0.39065006291629467,15.07505677686802,-57979.19996585997,31.922690825290122,66.05704149400006,749.3985527905703
fastest_80_tf1p75_mreq1p00_mrfx7p25,TF_EQ,1.75,17.5,741805.1072461967,50.538553206624925,145.05379492495047,5077.0418007311855,0.0285705339089507,29.429018380915135,-62126.667806960875,-3624.0924685571144,0.8719516381137395,73.17298200512384,-96111.78282237501,52.918059054156174,93.800186055076,187.44875393418644
balanced_85_tf1p125_mreq1p50_mrfx7p375,MR_EQ,1.5,15.0,407460.822020533,33.7282713055427,79.67556159963493,2408.231478736541,0.0330846774087664,9.913961673836527,-27899.357610364154,-2632.83761446634,0.6045862674335194,33.22243839062984,-37215.79674805593,27.004469508919577,20.41271135085255,157.33502802873667
balanced_85_tf1p125_mreq1p50_mrfx7p375,MR_FX,7.375,73.75,369834.8174896341,30.613713977874546,72.31811057677632,2046.6580728384993,0.03533473008340798,43.56667970277669,-61717.622171378986,-1619.6838467418713,0.46752156931538047,21.833428703706804,-59036.94346065544,42.838296607645766,67.19978613833992,762.8534652614534
balanced_85_tf1p125_mreq1p50_mrfx7p375,TF_EQ,1.125,11.25,430773.455787858,35.658014716582755,84.23415248100468,2816.188972557655,0.029910688984945307,29.429018380915135,-33347.61916264979,-2029.6259913886502,0.6994170500408052,44.944132905663395,-7175.696638132242,5.206818018206778,61.00936472680026,119.88343667113668
conservative_90_tf1p125_mreq1p25_mrfx7p625,MR_EQ,1.25,12.5,316264.70693046966,29.452791860557742,61.84292274745203,1830.8868295358022,0.033777578029293875,9.913961673836527,-20791.956471150217,-2017.6751807221165,0.5366544719934103,25.718562533525883,-27950.40703184926,23.911347130203627,16.982986735705353,129.46643757421256
conservative_90_tf1p125_mreq1p25_mrfx7p625,MR_FX,7.625,76.25,357540.1025446685,33.29664673701868,69.91398172559023,1925.4012131823342,0.03631138343890169,43.56667970277669,-57541.86526582186,-1544.263322307023,0.5053497386638431,25.46852094316901,-55697.001968947385,47.64833466194504,69.48206740322539,789.8199368523512
conservative_90_tf1p125_mreq1p25_mrfx7p625,TF_EQ,1.125,11.25,399997.32251901575,37.25056140242358,78.21613658956116,2576.1605167480334,0.030361515162221256,29.429018380915135,-29961.349242533382,-1872.2081495182385,0.7238880367594266,48.81291652330505,-6357.759342376783,5.4390116906933725,61.018669403161056,120.1450135225099
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,MR_EQ,0.875,8.75,198922.95591198208,22.195296507153422,38.897723095811905,1116.717852094023,0.03483218524972311,9.913961673836527,-12277.754681628518,-1245.3742731690334,0.41574035798331754,14.770423289626253,-6386.912101855443,6.333426846580839,11.859871501975519,89.77572003452002
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,MR_FX,8.0,80.0,339308.8358643793,37.85918113362059,66.34900975056303,1751.8346047762586,0.03787401480120722,43.56667970277669,-51562.546027696924,-1434.4654633150817,0.5597222396256933,31.195572557006507,-65402.269201828385,64.85457776533876,72.90602764047635,830.4118559617752
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,TF_EQ,1.125,11.25,358007.44453152176,39.945522359226,70.00536654898744,2253.0918141676275,0.031070800625517304,29.429018380915135,-25447.74650986446,-1658.0360513798396,0.7538083871223937,54.034004153367285,-22236.216132107627,22.050005694700552,61.03300060465611,120.53913844189263
